contract_id,vendor_id,category_id,contract_start,contract_end,contract_value,negotiated_savings
C00110,V385,CAT03,2023-09-15,2024-12-14,921005.0,54802.96
C00111,V499,cat07,2023-01-23,2024-09-12,924508.98,83295.0
C00112,V363,CAT03,2023-05-06,2024-08-20,978351.96,68360.41
C00113, V281,CAT10 ,2023-05-30,2024-07-31,442481.6,62384.56
C00114,V088,CAT06,2023-11-10,2025-02-07,322434.47,15084.76
C00115,v227, CAT05,2023-12-05,2025-11-22,81329.49,80565.49
C00116,V481 ,CAT05,2023-12-30,2024-12-04,689967.44,8838.79
C00117,V159,CAT02,2023-02-19,2024-10-30,329644.45,22386.32
C00118,V440,CAT06 ,2023-10-17,2025-01-01,739265.27,85995.65
C00119,V217,CAT06,2023-01-19,2025-10-27,231889.75,76713.64
C00120,V235 ,CAT10,2023-10-02,2025-08-26,919734.09,25742.29
C00121,V345 ,cat10,2023-06-27,2025-09-17,116082.78,22365.49
C00122,V193,CAT04,2023-04-09,2025-10-07,392986.88,89013.49
C00123,v021,cat02,2023-08-02,2025-01-03,58827.5,19163.8
C00124,V129,CAT09,2023-09-16,2024-08-21,157156.52,79976.1
C00125,V077 ,cat09,2023-06-02,2025-05-28,645511.35,83239.27
C00126,V399,cat10,2023-05-12,2025-06-20,640645.62,19569.11
C00127,v374,cat06,2023-11-27,2025-09-14,490778.99,82939.36
C00128,V074 ,cat07,2023-09-28,2024-11-20,460267.41,22598.3
C00129,V005,CAT07,2023-04-09,2024-07-29,432590.05,42216.38
C00130,v221,cat09,2023-10-20,2025-08-20,948098.33,83213.49
C00131,V390,CAT02,2023-01-09,2025-11-15,189748.71,91818.38
C00132,V182,CAT05,2023-10-04,2024-11-12,527703.21,68350.15
C00133,V312,CAT05,2023-10-03,2025-11-05,350884.89,14201.15
C00134, V403,CAT08,2023-04-23,2025-08-28,384936.21,48029.86
C00135,V396 ,cat10,2023-01-10,2024-07-05,366010.72,75622.82
C00136,V073,CAT09,2023-03-08,2024-06-22,109200.57,47590.58
C00137,V308,cat10,2023-09-20,2025-02-27,734191.05,7216.96
C00138,V329,,2023-08-27,2025-07-18,508652.41,37987.38
C00139,V431,CAT07,2023-02-20,2024-08-01,685171.72,94011.12
C00140,V064,CAT09 ,2023-10-17,2025-02-10,167860.36,5728.79
C00141,V348, CAT03,2023-02-26,2025-06-04,711629.9,88703.13
C00142,V418 , CAT01,2023-09-26,2024-09-25,147245.13,77224.26
C00143,v377,CAT04,2023-12-31,2025-02-07,180448.64,9445.77
C00144,V271,CAT05,2023-01-01,2024-11-25,403362.66,49347.59
C00145,V194,CAT01,2023-11-14,2024-12-19,900081.16,62873.76
C00146,v217,cat10,2023-04-24,2024-11-14,52543.55,
C00147,v353,CAT03,2023-08-11,2025-11-13,120082.32,64130.04
C00148,V017,CAT10 ,2023-05-29,2025-01-25,902965.08,29475.87
C00149,V250, CAT07,2023-12-16,2025-01-14,620497.94,18164.38
C00150,v088,CAT05,2023-01-26,2025-05-08,74173.19,99437.91
C00151,V295,CAT08,2023-06-29,2025-06-26,209861.63,22050.85
C00152,V378,CAT01,2023-09-15,2025-05-08,482971.13,8952.6
C00153,V113 ,CAT10 ,2023-05-07,2025-06-08,187840.4,62622.65
C00154,V495 ,CAT05,2023-07-07,2025-04-26,457696.59,80367.98
C00155,v444,cat08,2023-06-15,2025-04-29,611995.63,47919.54
C00156,V385,CAT02,2023-04-04,2025-12-16,620053.93,28963.35
C00157,v496,CAT04,2023-11-15,2024-11-19,420538.17,13387.36
C00158,v043,CAT10,2023-05-24,2024-08-05,671802.58,28188.76
C00159, V451,CAT06,2023-12-16,2025-07-10,252136.83,74228.92
C00160, V131,CAT01,2023-12-26,2025-09-29,133102.46,49094.7
C00161,v012,CAT08,2023-06-12,2025-04-10,861695.49,82087.94
C00162,V171,CAT06,2023-02-14,2025-06-02,316752.6,99732.84
C00163,V272,cat05,2023-04-22,2025-01-27,747706.0,86313.01
C00164,V232,CAT04,2023-10-19,2024-12-26,302658.12,41942.19
C00165,V395,CAT02,2023-07-03,2024-09-14,925946.73,12779.26
C00166,V377,CAT02,2023-04-14,2024-06-15,558235.67,49198.36
C00167, V406,CAT08,2023-03-18,2025-01-07,602468.0,
C00168,V066,CAT09,2023-05-10,2024-07-22,450969.92,81815.0
C00169,V486,CAT07,2023-03-15,2025-09-04,339303.12,96931.44
C00170,,CAT07,2023-12-20,2025-07-01,886487.63,
C00171,V034,CAT10,2023-04-11,2025-05-06,559435.8,93572.31
C00172,V075,CAT03,2023-01-06,2025-02-25,525016.54,
C00173,V433,cat06,2023-01-30,2025-12-27,317118.27,88303.69
C00174,V259, CAT10,2023-01-01,2025-12-09,848432.17,99048.77
C00175,V484 ,CAT04,2023-03-24,2024-06-09,752986.24,19589.61
C00176,V179,CAT02,2023-08-17,2025-07-31,856161.21,94816.66
C00177,v369,CAT06,2023-01-10,2025-12-30,273084.89,
C00178, V121,CAT02,2023-07-20,2024-07-29,244113.53,30001.37
C00179,V108,CAT07,2023-01-26,2025-11-16,423080.13,
C00180,V060,CAT08,2023-05-29,2025-10-16,161154.46,67742.15
C00181, V081,CAT02 ,2023-02-23,2025-12-08,410097.74,19529.57
C00182,V467,CAT08 ,2023-07-11,2025-02-20,647192.5,56504.29
C00183,V037,CAT02,2023-01-21,2025-12-26,74170.4,73948.45
C00184,v212,CAT05,2023-08-21,2025-07-27,218051.89,84358.02
C00185,V005,,2023-01-07,2024-10-28,428616.72,34376.22
C00186,V450,CAT03,2023-12-19,2025-12-24,304300.7,65080.3
C00187,V403 ,CAT05,2023-01-20,2024-06-21,884774.91,91011.38
C00188,V353,CAT08,2023-05-28,2024-10-23,346167.07,31068.8
C00189,V360,CAT09,2023-12-28,2025-03-26,518917.88,29206.26
C00190,V036,CAT05,2023-12-27,2024-07-05,134425.32,5705.08
C00191,V056,CAT05,2023-01-04,2025-07-28,342887.18,87747.25
C00192,V051,CAT07,2023-09-23,2024-08-07,66115.93,16290.2
C00193,V496 ,cat04,2023-05-09,2025-11-13,899188.54,18245.84
C00194,V256,CAT07,2023-09-29,2025-11-14,135458.89,54568.08
C00195,V178 ,CAT10,2023-04-18,2024-07-15,331951.08,28811.14
C00196, V393, CAT05,2023-08-09,2024-10-25,648954.76,25947.5
C00197,v101,CAT05,2023-10-07,2025-09-06,899491.03,33467.23
C00198,V291, CAT09,2023-04-24,2024-08-11,373129.67,29879.34
C00199,V311,CAT08,2023-02-25,2025-12-27,940316.71,
C00200,V185,CAT10,2023-07-11,2025-02-23,430191.29,69880.31
C00201,v230,CAT03,2023-10-07,2025-12-05,813052.91,34299.27
C00202,V100,CAT09 ,2023-05-10,2025-09-14,520093.15,89565.94
C00203,v081,CAT04,2023-05-26,2025-03-29,244756.38,17453.34
C00204,V055,CAT09,2023-05-10,2025-12-09,124075.54,89160.94
C00205,v438,CAT07 ,2023-01-15,2025-11-29,688337.21,67195.28
C00206,V243 , CAT05,2023-11-09,2025-10-12,644646.35,45380.92
C00207,V126, CAT05,2023-09-03,2025-04-13,427249.22,59171.41
C00208, V122,CAT01 ,2023-03-30,2024-10-10,271627.4,33411.99
C00209,v194,CAT02,2023-04-29,2025-11-05,358991.85,29735.74
C00210,V269,CAT03,2023-07-05,2024-08-13,236010.4,5642.89
C00211,V148,CAT06,2023-02-10,2025-06-14,832089.76,82573.73
C00212,v198,CAT03,2023-04-27,2024-06-19,709560.6,41047.83
C00213,V453,CAT10,2023-03-07,2025-02-03,664581.32,13928.16
C00214,V218,CAT02,2023-06-19,2024-10-18,647323.79,60537.4
C00215, V287,CAT07,2023-07-24,2024-07-04,133091.73,42728.54
C00216,V485 ,CAT03,2023-12-30,2025-04-11,543147.06,63202.3
C00217,V362,CAT09 ,2023-12-08,2025-03-17,966723.57,78098.93
C00218,V444,CAT08 ,2023-11-14,2024-11-13,443181.38,73015.11
C00219,V355,,2023-03-24,2024-09-19,799917.19,58657.05
C00220,v325,CAT03,2023-01-15,2025-08-22,361321.91,90630.63
C00221,V129,CAT05,2023-09-01,2025-03-07,277877.07,48445.06
C00222,V145 , CAT06,2023-08-08,2025-10-25,603042.05,57768.5
C00223,V246,cat08,2023-01-12,2025-01-29,943902.94,52069.44
C00224,V119,CAT02 ,2023-09-06,2024-10-18,761844.25,11478.53
C00225,V058,cat10,2023-06-07,2024-10-09,909164.61,74595.62
C00226,V351 ,CAT01 ,2023-02-15,2025-03-30,505130.73,64211.12
C00227,V185,CAT04,2023-11-06,2025-02-25,403114.36,
C00228,V458,CAT04,2023-10-11,2025-01-25,784421.2,
C00229,v440,CAT04 ,2023-03-07,2025-08-18,692759.49,98261.35
C00230,V264,CAT08 ,2023-10-22,2025-07-05,953983.47,47512.51
C00231,V222 ,CAT02,2023-11-27,2025-05-05,612199.03,92687.72
C00232,V335,CAT10,2023-03-05,2025-01-14,789809.06,61921.66
C00233,V093,CAT01 ,2023-03-06,2025-01-15,696146.0,76712.33
C00234,V054,CAT02,2023-09-23,2025-07-22,719022.05,51169.05
C00235,v005, CAT05,2023-10-24,2025-07-01,826766.46,50584.24
C00236,V303,cat09,2023-04-27,2025-10-26,543826.86,45363.73
C00237,V424,CAT03 ,2023-05-09,2025-10-06,296750.66,6358.12
C00238,V226,CAT10,2023-11-23,2025-04-22,663637.6,97431.74
C00239,V419 ,CAT03,2023-02-11,2024-06-27,560793.77,37807.76
C00240, V138, CAT03,2023-04-16,2025-02-21,996573.17,39192.48
C00241, V197, CAT05,2023-09-15,2024-09-07,559569.03,24242.56
C00242,V261,CAT08,2023-04-25,2025-10-29,958971.17,98599.73
C00243,V187,CAT09 ,2023-04-06,2024-07-12,865370.92,21221.1
C00244,V075,CAT02,2023-04-30,2025-11-30,665739.19,84130.33
C00245,,CAT03 ,2023-03-26,2025-03-25,76089.69,54427.37
C00246,V185,CAT10,2023-06-01,2025-02-03,876292.32,84823.01
C00247,V446, CAT04,2023-11-15,2025-03-14,421572.59,22829.8
C00248,V081,CAT02,2023-09-29,2024-08-15,392560.32,50867.56
C00249,v098,CAT04,2023-10-04,2024-08-29,545522.08,29298.16
C00250,V036, CAT05,2023-08-29,2024-09-19,531802.57,
C00251,V245 ,CAT06 ,2023-07-08,2025-05-18,920491.89,69331.22
C00252,V185,CAT01,2023-03-20,2025-01-10,826925.75,61329.93
C00253,v329,CAT08 ,2023-09-01,2024-10-14,141530.18,62225.93
C00254,V449 ,CAT07 ,2023-06-30,2025-11-28,728609.16,5988.57
C00255,V022,CAT01,2023-04-27,2025-01-19,972765.95,47990.1
C00256,V149,CAT07 ,2023-02-20,2025-06-09,428202.94,38177.32
C00257, V465, CAT09,2023-11-26,2025-04-29,735031.16,21856.65
C00258,V107,CAT10,2023-12-13,2025-09-04,166022.55,80235.08
C00259,V287,cat08,2023-05-07,2025-08-31,961371.31,67370.69
C00260,V282,CAT03,2023-05-21,2025-02-04,708578.58,91868.5
C00261,V464,CAT10,2023-10-19,2025-09-29,529095.82,36587.84
C00262,V098,CAT09 ,2023-10-21,2025-12-02,475734.92,95344.01
C00263,V380 ,CAT02 ,2023-08-11,2025-10-15,644412.5,13226.07
C00264,V057,cat05,2023-07-13,2024-11-01,520142.35,76754.91
C00265,V161,CAT09,2023-08-23,2024-10-05,648962.26,33097.1
C00266,V197,CAT08,2023-05-16,2025-04-07,769323.57,97371.41
C00267,V150,CAT06,2023-04-15,2025-05-21,162228.46,
C00268,V217,cat06,2023-07-25,2025-04-27,934788.68,54409.93
C00269,v360,CAT06,2023-08-28,2024-10-28,497597.6,98148.84
C00270,V078,CAT07,2023-01-10,2025-09-19,945007.09,61743.32
C00271,V144 ,CAT10,2023-08-18,2024-10-06,771395.34,51501.69
C00272,V160,CAT09,2023-05-02,2024-08-26,421818.13,90707.46
C00273,V305,CAT06,2023-05-20,2025-10-31,477462.87,64081.52
C00274,V375 ,CAT02,2023-11-19,2024-08-27,934178.83,95953.44
C00275,v265,CAT09,2023-09-07,2025-01-30,791671.69,59579.7
C00276,V472,CAT04,2023-09-04,2024-08-07,777884.03,75980.04
C00277,V312,CAT03,2023-09-11,2024-10-28,928900.08,86202.96
C00278,V261 ,CAT01,2023-10-10,2025-07-04,344607.8,10801.71
C00279,V354, CAT02,2023-03-31,2024-10-15,164014.75,77005.48
C00280, V274,CAT03,2023-07-20,2024-09-21,439238.33,78764.04
C00281,V214,CAT01,2023-12-27,2024-12-17,469878.29,32050.86
C00282,V484 ,cat05,2023-08-11,2025-06-16,199607.79,46452.09
C00283,V247 ,CAT10,2023-01-10,2025-12-22,177387.28,44556.39
C00284,V433,CAT02,2023-09-19,2024-11-10,628401.0,60540.29
C00285,V044 ,CAT03,2023-06-20,2025-06-24,733080.6,19413.73
C00286, V065,CAT06,2023-06-27,2025-04-08,880783.7,
C00287,V224,CAT07 ,2023-07-22,2024-12-01,345604.24,25027.09
C00288,V279,CAT09,2023-04-22,2025-03-10,868102.18,15259.16
C00289,v211,CAT02,2023-05-02,2024-06-06,649071.77,17942.93
C00290,V439 ,CAT05,2023-11-26,2024-07-13,730473.47,42167.92
C00291,V206,CAT08 ,2023-10-23,2024-07-27,94019.22,53226.07
C00292,V266,CAT09,2023-03-24,2024-11-02,69916.5,95171.97
C00293,V484,cat06,2023-04-28,2024-11-22,584460.33,72398.09
C00294,v403, CAT01,2023-07-20,2024-12-10,297632.66,63594.0
C00295,v188,CAT05 ,2023-12-23,2024-09-16,107896.2,26394.19
C00296,V153,CAT03,2023-11-17,2025-10-19,790517.16,11918.61
C00297,V433,cat07,2023-05-18,2025-03-13,152019.96,70203.74
C00298,V363,CAT08,2023-12-15,2024-06-06,654059.59,90910.28
C00299,v452,CAT10 ,2023-11-05,2025-11-25,505972.84,98469.8
C00300,V286,CAT08,2023-12-06,2025-08-29,309958.68,79736.78
C00301,V321,CAT02,2023-01-21,2025-12-20,989490.29,17690.39
C00302,V044 ,CAT08,2023-05-11,2025-12-28,922934.19,38371.16
C00303, V327,CAT02,2023-02-15,2024-11-09,856539.11,24318.56
C00304,V250 ,CAT07,2023-11-17,2025-07-09,425265.04,61319.5
C00305,V377,CAT03,2023-12-15,2025-09-30,819450.28,75776.11
C00306,V262,CAT09,2023-05-21,2025-08-24,953791.91,87037.47
C00307,v417,CAT06 ,2023-11-12,2025-06-18,884336.98,
C00308,V260,CAT10,2023-12-24,2025-03-30,562192.26,40208.72
C00309, V093, CAT10,2023-10-30,2024-09-28,469609.39,72293.43
C00310,V020,CAT06,2023-05-22,2024-06-19,865275.44,47179.88
C00311,V345,CAT01,2023-01-07,2025-02-12,388321.42,
C00312,V393,CAT10,2023-10-01,2025-10-20,560881.13,51618.05
C00313,V281,CAT10,2023-05-30,2025-10-13,90653.88,86310.13
C00314,V250,CAT08,2023-05-14,2025-01-11,401863.72,53936.84
C00315,V155,cat07,2023-10-13,2025-08-05,606354.99,59710.76
C00316,V262,CAT10,2023-08-09,2025-03-08,719106.04,20030.69
C00317,V418,CAT08 ,2024-01-01,2025-02-09,613527.4,64429.51
C00318,v350, CAT08,2023-05-15,2024-07-27,161112.83,13072.47
C00319,V342,CAT06,2023-05-17,2025-03-31,994697.49,84459.46
C00320,V056,cat10,2023-06-01,2025-12-07,350541.37,94321.72
C00321,V258, CAT01,2023-11-23,2024-10-15,551724.94,22418.88
C00322,V219,cat09,2023-11-28,2025-10-13,996588.28,62047.21
C00323,V453 ,CAT07,2023-03-14,2025-01-24,927980.81,29898.57
C00324,V114,cat02,2023-04-26,2024-07-24,241228.85,37498.37
C00325,V291 , CAT03,2023-05-05,2025-04-15,688941.07,11955.19
C00326,V356 ,CAT01,2023-08-02,2025-03-21,466721.22,46323.0
C00327, V414,cat02,2023-04-23,2024-08-24,729679.67,91594.72
C00328,V113 ,CAT05,2023-04-03,2025-12-20,384494.08,63449.44
C00329,V180, CAT09,2023-05-14,2024-06-16,472326.97,41186.22
C00330,v240,CAT02,2023-05-13,2024-07-15,546518.94,26564.23
C00331,V159,CAT08,2023-02-21,2025-05-08,766477.38,25893.54
C00332,V063,CAT09,2023-01-08,2024-12-19,835916.53,13857.4
C00333,V088,CAT09,2023-12-10,2025-09-12,507000.12,78967.31
C00334,V405,CAT02,2023-01-30,2025-06-01,829931.91,84992.23
C00335,v243,CAT07,2023-05-21,2025-01-05,272699.2,43798.94
C00336,V482,CAT09,2023-03-20,2025-04-16,433994.81,49304.84
C00337,V500 ,cat06,2023-06-06,2024-10-28,192739.52,18702.17
C00338,v494,CAT02,2023-04-17,2025-12-08,331962.07,71969.48
C00339,V009,CAT01,2023-05-31,2025-02-16,572662.01,54041.46
C00340,V026,CAT04,2023-12-21,2024-07-29,549473.64,13250.98
C00341, V127,CAT01,2023-01-24,2024-07-15,325884.16,84222.41
C00342,V270,,2023-12-27,2024-12-22,640020.79,
C00343, V446,CAT03 ,2023-04-19,2025-09-23,177551.75,56553.03
C00344,V428,CAT01 ,2023-03-24,2025-12-12,392465.19,60344.43
C00345,V123,CAT09,2023-12-08,2024-07-10,846932.83,32173.55
C00346,v299,CAT02 ,2023-04-20,2025-06-03,124224.63,69993.03
C00347,V362,CAT07,2023-12-05,2025-09-09,736503.62,70482.24
C00348,V039 ,CAT03,2023-12-10,2025-09-27,613555.81,59104.26
C00349,v017,cat02,2023-02-24,2024-09-02,187481.77,39005.18
C00350,V214,CAT07,2023-08-06,2025-04-18,668154.22,97893.3
C00351,V357, CAT05,2023-09-15,2024-12-13,54653.11,15419.14
C00352,V202,CAT03,2023-09-23,2025-12-23,71303.07,51736.6
C00353,V209,cat07,2023-06-24,2025-02-01,288534.02,22339.11
C00354,V353,CAT01 ,2023-01-28,2024-07-09,219266.64,80602.56
C00355,V418, CAT07,2023-12-26,2025-05-03,957999.71,34209.7
C00356, V222,CAT02 ,2023-07-09,2025-06-19,297287.28,82040.53
C00357,V344,CAT06,2023-07-22,2024-09-01,270520.17,21459.8
C00358,v371,CAT05,2023-04-20,2025-03-23,475706.42,49013.16
C00359,V359,CAT08,2023-08-04,2025-04-17,691448.49,78978.47
C00360,v455,CAT07 ,2023-09-19,2024-06-23,858062.48,29802.34
C00361,V079,CAT03,2023-01-12,2025-06-09,805721.88,
C00362,V098,cat10,2023-01-07,2025-11-14,301514.4,12894.72
C00363,V261 ,CAT09,2023-03-31,2025-12-10,721162.36,17457.17
C00364,V318 ,CAT04,2023-01-11,2025-05-11,947858.81,53370.39
C00365,V158,CAT06,2023-03-22,2025-03-22,424366.74,40171.28
C00366,v096,CAT04 ,2023-08-25,2024-08-26,316519.51,39174.2
C00367, V168,CAT09,2023-10-07,2025-11-26,416353.53,74225.1
C00368,V316,CAT07,2023-09-05,2025-12-03,554998.27,98018.16
C00369,V410,CAT05,2023-11-07,2024-07-13,367477.19,34565.61
C00370,V371, CAT09,2023-02-27,2025-02-09,343968.78,51137.43
C00371, V192,CAT04 ,2023-09-13,2024-09-14,603697.04,96144.67
C00372,V310,CAT03,2023-05-12,2024-11-19,144660.01,50507.51
C00373, V113,cat08,2023-01-11,2024-08-27,395922.04,59276.48
C00374,V335,CAT07,2023-11-25,2025-10-09,926807.26,7251.62
C00375, V166,CAT10,2023-10-15,2024-09-16,852139.79,97578.28
C00376,,CAT05,2023-02-16,2025-06-12,759417.26,85612.39
C00377,V287,CAT03 ,2023-12-11,2024-12-18,697928.85,62252.59
C00378,v086,CAT04,2023-05-10,2025-04-10,230524.31,
C00379,V119 ,CAT03 ,2023-11-22,2025-11-14,113741.06,49469.05
C00380,V126, CAT07,2023-08-03,2025-02-02,315915.71,58648.06
C00381,V059,CAT03,2023-07-10,2024-08-25,630389.09,59516.5
C00382,V280,CAT01,2023-12-26,2025-01-22,333862.74,13892.35
C00383,V393,CAT07 ,2023-03-03,2024-12-16,67841.09,60742.85
C00384,V334,CAT06,2023-09-07,2025-07-09,318378.91,
C00385,v224,CAT05,2023-03-06,2025-07-01,911509.68,54512.23
C00386,V345,CAT10,2023-11-19,2024-06-22,771202.3,92057.57
