po_id,po_line_id,vendor_id,category_id,region_id,order_date,ordered_amount,currency
PO00070,POL1, V009,CAT05, EMEA,2023-08-24,93000.99,usd
PO00071, POL2,v429, CAT10,EMEA,2023-12-26,11824.25,usd
PO00072,POL3,V445,CAT10,,2024-04-27,43212.32,usd
PO00073,POL3, V232,CAT06,EMEA,2023-11-13,34213.7,
PO00074,POL1,V210,CAT05 ,EMEA,2024-03-12,47437.71, USD
PO00075,POL1,V153 ,CAT09,na,2023-06-09,32713.87, USD
PO00076, POL2,V079,CAT05,apac,2023-02-19,88243.0,USD
PO00077,POL1, V330,cat10,EMEA ,2024-03-12,11817.15, USD
PO00078,POL3,V024 ,CAT06,LATAM,2024-02-22,97848.75,USD
PO00079, POL1,V375,cat09,na,2023-12-16,71551.7,usd
PO00080,POL3 ,V377,CAT04,NA,2023-06-07,18977.62, USD
PO00081,POL1,V312 ,CAT10, NA,2024-05-16,63373.63,
PO00082,POL1,V383 ,CAT05,APAC,2023-08-20,68604.48,
PO00083,POL1,V343,CAT09, NA,2023-12-04,81825.55, USD
PO00084,POL3,V395,cat08,APAC,2024-09-03,59902.34,USD
PO00085, POL3,V422,CAT07,APAC,2024-10-26,79542.47, USD
PO00086,POL1,V249,CAT08 ,NA,2024-01-25,1685.64,USD
PO00087, POL3,v459, CAT10,apac,2023-11-28,82268.59, USD
PO00088,POL3 ,V070 ,CAT08 ,LATAM,2023-12-31,13932.61,usd
PO00089,pol1,V079, CAT04, EMEA,2023-06-08,6354.75,
PO00090,POL1 ,V108,CAT06, NA,2024-06-26,72642.82,USD
PO00091, POL1,V139 ,cat09, NA,2024-08-01,23013.32,
PO00092,POL3 ,v163,CAT03,NA,2024-06-05,26787.6, USD
PO00093,pol2,V105,cat08,NA,2023-02-17,49190.82,usd
PO00094,POL1,v194,CAT08,emea,2023-02-23,63203.52,USD
PO00095,POL2,V154,CAT07,APAC,2023-03-23,37162.36,usd
PO00096,POL3,V294,CAT10,APAC,2024-05-25,55428.02,usd
PO00097,POL3,V328,CAT10 ,EMEA ,2024-12-25,59244.07,
PO00098,POL3,V129 ,CAT03 ,latam,2024-02-15,5263.34, USD
PO00099,POL2,V300,CAT03,EMEA,2024-08-18,16504.84,usd
PO00100,pol1,V281,cat10, NA,2024-02-04,82950.58, USD
PO00101,POL1 ,V222,cat07,emea,2024-02-08,81131.81,USD
PO00102,pol2, V316,CAT01 ,NA,2024-03-14,16039.25,usd
PO00103, POL3,V334,cat07,NA,2024-10-06,58646.83, USD
PO00104,POL2,V023,CAT06,NA,2024-05-26,61255.01,USD
PO00105, POL3,V182,cat06, LATAM,2024-12-27,5168.19,USD
PO00106,POL1 ,V500 ,CAT04,emea,2023-05-08,87019.41,usd
PO00107,POL3,V267,CAT10,NA ,2023-11-25,59982.94,USD
PO00108,POL3, V446,CAT07,latam,2024-02-24,7634.42,usd
PO00109,pol2,V433,CAT05,APAC ,2024-11-18,1360.1,USD
PO00110, POL3,V117,cat08,APAC,2024-10-07,,USD
PO00111,POL3,v226,CAT02 ,NA,2023-07-24,38048.23, USD
PO00112,POL2,v147,cat08, APAC,2023-01-20,57872.05,USD
PO00113, POL1,V186,CAT01 ,LATAM,2024-10-11,1854.27, USD
PO00114,POL1,V337,CAT01 ,EMEA,2024-03-25,75138.77,
PO00115, POL3,V461 ,CAT06 ,LATAM ,2024-01-09,63330.15,usd
PO00116,POL2,V466,CAT10, LATAM,2024-08-10,97894.91, USD
PO00117,POL2,V082,CAT10, EMEA,2023-05-22,51181.11, USD
PO00118,POL3, V268,CAT06 ,NA,2023-12-16,9560.86, USD
PO00119,POL3 ,V430,CAT03,LATAM ,2024-04-05,47185.9, USD
PO00120,POL1,v329,CAT04 ,APAC,2024-10-01,56039.13, USD
PO00121, POL2,V357 ,CAT09 ,NA,2024-04-14,29081.79, USD
PO00122,POL1, V055,CAT06,APAC ,2024-04-24,35952.24,usd
PO00123,POL1, V126,CAT08,APAC ,2024-10-25,31688.37,USD
PO00124,POL1,v087,CAT07,EMEA,2024-01-28,67212.2,USD
PO00125,POL2,V016 , CAT06,APAC,2024-01-25,14242.61, USD
PO00126,POL2,V370,CAT01 ,NA,2024-07-28,31159.32, USD
PO00127,pol3, V319,CAT01 ,latam,2023-02-19,52774.29,USD
PO00128,POL2,v236,CAT04,APAC,2023-02-04,58482.85, USD
PO00129,POL1, V150,CAT08,APAC,2023-01-20,70802.5,usd
PO00130, POL3,v051,CAT08,LATAM,2023-06-24,94077.67, USD
PO00131,pol3,v099,CAT03,LATAM,2024-04-04,95199.23, USD
PO00132,POL3,V207,CAT06,APAC,2023-08-01,14526.8, USD
PO00133,POL3,V110,CAT08,,2023-04-08,64355.43, USD
PO00134, POL1,V469 ,CAT09 ,LATAM,2023-09-02,29674.39,USD
PO00135,POL3,V048,CAT03,NA ,2024-04-21,35442.96,USD
PO00136,POL3,V473,CAT07,apac,2023-05-22,83212.12,
PO00137,POL2,V047,cat04,APAC ,2024-03-05,64070.94,usd
PO00138, POL3, V077,CAT10,LATAM,2023-12-06,19578.1,
PO00139,pol2,V454 ,cat03,LATAM,2023-03-14,48366.73, USD
PO00140,POL2,V421 , CAT05,na,2023-05-18,48485.33, USD
PO00141,pol3,V213,CAT10,EMEA,2023-11-28,28254.46,USD
PO00142,POL1,v429,CAT05 ,NA,2023-11-17,97601.98,
PO00143,POL1, V476,cat01,NA ,2024-07-28,89451.95,
PO00144,POL2, V236,CAT10,APAC,2023-12-15,98885.35,USD
PO00145,POL2,v335, CAT02,NA ,2024-04-25,85387.68, USD
PO00146,POL3,V320,CAT08,APAC,2024-09-25,79103.71,USD
PO00147,POL3, V014,CAT08 ,LATAM,2024-08-15,62821.53,USD
PO00148, POL1,V117,CAT03,NA,2023-05-23,,USD
PO00149,pol3,V294,CAT07,APAC,2024-01-18,, USD
PO00150,pol2,v417,cat02,LATAM,2023-05-14,59236.66, USD
PO00151,POL3 ,V162,cat04,LATAM,2023-09-10,53406.91,USD
PO00152,POL3 ,V410,CAT10,APAC ,2023-09-28,94819.42,
PO00153,POL3,V327,CAT08 ,APAC,2024-10-06,17558.52, USD
PO00154,pol2,V455,CAT10,latam,2023-02-18,16384.82,USD
PO00155,pol3,V239,CAT02,NA,2023-07-05,94793.98, USD
PO00156,POL1,V166,cat06,LATAM ,2024-12-07,27219.39,usd
PO00157,POL2 ,v322,CAT09,APAC,2023-03-28,,usd
PO00158,POL3, V255,CAT09,EMEA ,2023-05-04,75738.59, USD
PO00159,POL2,V304,CAT08,EMEA,2024-09-08,43124.52,
PO00160, POL3,V450, CAT09,EMEA,2024-09-18,3445.22,usd
PO00161, POL2,V320,CAT05,LATAM ,2023-03-03,41478.59, USD
PO00162,pol1,v232,CAT01, LATAM,2024-02-15,14545.46,USD
PO00163,POL2,V264, CAT08,NA,2023-10-21,72359.56,usd
PO00164,POL3,V034,CAT07,APAC ,2023-08-04,,USD
PO00165,POL1,V030 ,CAT03 , NA,2024-03-13,65167.82,USD
PO00166,POL1,V190,CAT10,EMEA,2024-10-01,87003.51,USD
PO00167,POL1,v391,cat01,APAC,2024-03-25,73714.93,usd
PO00168,POL2 ,V086,CAT10,LATAM,2024-04-13,78328.98,
PO00169,POL1,V108,CAT10,EMEA,2024-08-14,44653.86, USD
PO00170,pol1, V263,CAT03 ,APAC,2023-10-19,47515.74,usd
PO00171,POL3 , V269,CAT07,LATAM,2023-09-21,83905.82, USD
PO00172,POL3,v492,CAT04,APAC,2024-04-10,16115.61, USD
PO00173,pol1, V205,cat09, LATAM,2024-11-06,83275.09, USD
PO00174,POL1,V304,CAT10 ,LATAM,2024-04-21,50552.58,usd
PO00175,POL3,V093,CAT07,EMEA,2023-10-21,38490.17,
PO00176,POL3,V403,CAT06,na,2024-08-31,61645.72, USD
PO00177,POL1,V324, CAT03,EMEA,2023-06-16,9440.06,usd
PO00178,POL1,V046,CAT04,NA,2024-11-13,90033.28,usd
PO00179,POL1,V280,CAT01,LATAM,2023-02-14,17264.95,
PO00180,POL2 ,V332,CAT07,EMEA,2023-12-24,77269.85,usd
PO00181,POL3,V330,CAT07 ,LATAM ,2023-02-09,44427.18,usd
PO00182,POL1,V402,CAT03 ,NA,2023-08-08,4647.67,
PO00183,POL3,V393, CAT04,APAC,2023-04-16,12878.6,USD
PO00184,POL3,v014,CAT08,LATAM,2024-07-27,78267.61,usd
PO00185,POL3 ,v004,CAT05,EMEA,2023-06-28,13275.86,
PO00186,POL2 ,V367, CAT09,EMEA ,2024-05-09,76886.54, USD
PO00187, POL1,V019, CAT08,NA,2023-08-30,55803.83,USD
PO00188,POL2, V233,CAT05,APAC,2024-01-22,53194.83,usd
PO00189,pol1,V247, CAT06,emea,2024-08-15,25618.15,
PO00190,POL3,V285,CAT01,EMEA,2024-11-08,14273.63, USD
PO00191,POL3, V311,cat03,APAC,2024-11-15,31273.32, USD
PO00192,POL3,V141,CAT03,NA,2023-06-28,53865.97,USD
PO00193,pol3,v340,CAT08,LATAM,2023-04-19,78187.38,
PO00194,POL2,v339,CAT02 ,NA,2024-09-14,95321.87,usd
PO00195,POL1,V472,CAT01 ,APAC,2023-04-14,32865.78, USD
PO00196,POL2,v162,cat06,LATAM,2024-12-07,22296.31,
PO00197,POL1 ,V168, CAT08,EMEA,2024-03-15,48811.49,
PO00198,POL1,V212,CAT05,,2024-05-05,29786.77, USD
PO00199, POL1, V374,CAT05, LATAM,2024-12-31,5058.2,
PO00200,POL2 ,v174,cat09,EMEA,2024-04-19,61774.44,USD
PO00201,POL3,v007,CAT03,LATAM,2023-03-26,17618.51, USD
PO00202,POL2,V121,cat08,LATAM,2023-01-31,77179.28,USD
PO00203,POL2,V088,CAT10,LATAM,2024-06-20,76543.66,USD
PO00204, POL2,V461,CAT09, APAC,2024-02-11,48768.28,USD
PO00205, POL2,V166,CAT10,NA ,2024-02-08,91300.19,USD
PO00206,POL3,V022, CAT10,NA,2024-08-12,21963.28,USD
PO00207, POL3,V163,cat09, EMEA,2023-10-11,80942.39,usd
PO00208, POL2,V184,cat03, EMEA,2024-04-03,10611.96,usd
PO00209,POL3 ,V269,CAT05,LATAM,2024-09-08,76073.2, USD
PO00210,POL1, V346,CAT07,NA,2023-09-11,31764.94,
PO00211,POL1 ,V265,cat01,EMEA ,2024-07-18,75960.68,usd
PO00212,POL1,V144 ,CAT07,NA,2024-12-28,86693.77,USD
PO00213,POL1,V189,CAT03,EMEA,2023-02-26,,
PO00214,POL2,V108,cat10,APAC,2023-05-11,90494.44, USD
PO00215,POL3,v160,CAT06, EMEA,2024-07-23,81137.69,usd
PO00216,POL2 ,V487,CAT05 ,APAC,2023-07-21,73560.04,
PO00217,POL2, V053,CAT08,NA,2024-08-26,21475.36,
PO00218,POL2,V332,CAT09,EMEA ,2023-05-24,26895.31,
PO00219, POL3,V026,CAT05,NA,2024-04-19,15134.05,USD
PO00220,POL3,V228,CAT01,EMEA,2024-07-10,71993.61,USD
PO00221,POL2,V385,CAT10,NA,2023-04-16,57828.65,usd
PO00222,pol1,V274,CAT05,LATAM,2024-12-30,96974.37,usd
PO00223,pol3,v020, CAT04,apac,2024-04-26,55090.23, USD
PO00224,pol1,V450,CAT07,NA,2024-06-20,78208.34,
PO00225,POL2,V229,cat02,na,2024-08-18,3969.1,USD
PO00226,POL3,V452,CAT04 , NA,2023-12-30,19178.5,
PO00227,POL1,V499, CAT01,EMEA,2024-11-19,3578.19,usd
PO00228,POL2 ,v322,CAT06,LATAM ,2023-06-29,96969.64, USD
PO00229,POL1,v263,CAT02,EMEA,2024-04-28,74122.97,
PO00230,pol2,V500,CAT06 ,na,2024-06-10,88193.25, USD
PO00231,POL2,, CAT07,APAC,2024-03-19,70852.56,
PO00232,pol2,v119,cat02,latam,2024-08-12,,USD
PO00233,POL2,V372 ,CAT01,NA,2023-01-01,24654.5,usd
PO00234,POL1,v417,CAT02,na,2024-10-15,7184.81,usd
PO00235,POL1,V112, CAT08, LATAM,2023-07-20,85840.81,usd
PO00236,POL2,V164,cat02,NA,2023-02-01,9136.18, USD
PO00237, POL2, V256,CAT06,APAC,2024-10-11,18080.74,USD
PO00238,POL1,V445,CAT08,APAC,2023-01-26,36455.37,
PO00239,POL1,v484,CAT03,NA,2023-11-15,31825.96,
PO00240, POL1,V362, CAT08,apac,2023-12-20,71079.21,USD
PO00241,POL3, V466,cat04, APAC,2023-04-09,39407.03,usd
PO00242,POL2 ,V340,CAT01,,2023-06-25,6916.17, USD
PO00243,POL2,V261,CAT01 ,LATAM,2024-08-23,91425.2,
PO00244,POL1,V397, CAT10, EMEA,2024-03-28,54699.65,
PO00245,POL1,V020,CAT02,APAC ,2024-09-22,49452.55,usd
PO00246,POL2,V046 ,CAT10,LATAM,2024-11-22,35199.66, USD
PO00247,POL1 ,V472 ,CAT03, EMEA,2024-08-31,85531.28,
PO00248,POL2,V329,CAT05,APAC,2023-04-15,29053.56, USD
PO00249,POL3 ,V117 ,CAT07, APAC,2024-02-29,15464.74,USD
PO00250,POL2,V047,CAT07, NA,2024-04-14,74388.37,
PO00251,POL2,V191 ,cat10,NA ,2023-04-06,62285.96,USD
PO00252,POL1,V321,CAT01,APAC,2024-02-02,25002.61,
PO00253,POL3,V127,CAT06 ,LATAM,2023-03-18,72655.67,usd
PO00254,POL2,v200,CAT04,LATAM,2023-09-10,60467.0,usd
PO00255,POL3,V467 ,CAT01,LATAM,2024-05-07,92707.28,
PO00256,pol2,v407,CAT08,LATAM ,2023-02-09,43660.18,USD
PO00257,POL3, V364,CAT09, LATAM,2023-04-15,,usd
PO00258,POL1,V373,CAT01 ,LATAM,2024-05-30,60076.92,usd
PO00259,POL2,V324,CAT01 ,LATAM,2024-11-25,49661.47, USD
PO00260,POL3,V146,CAT04, NA,2023-05-05,45519.16,usd
PO00261, POL1,V250,CAT02 ,APAC ,2023-04-10,87938.1,USD
PO00262,POL2 ,v059,CAT10,na,2023-01-24,35625.11,
PO00263,POL3, V002, CAT07,APAC,2024-12-23,91458.23,
PO00264,pol2,V460,CAT08, LATAM,2024-03-30,53165.98,USD
PO00265,POL2,V341,CAT04,NA,2023-07-26,78667.53,
PO00266, POL2,V283,CAT05,APAC,2023-12-26,57970.96, USD
PO00267, POL1,V483,CAT08,apac,2023-12-23,,
PO00268,POL3,V117 ,CAT07,apac,2023-06-23,37294.58,USD
PO00269, POL3,v429,CAT06,LATAM,2024-05-20,95826.74,
PO00270,POL1,V198,CAT06 ,EMEA,2024-06-10,43139.58, USD
PO00271,pol1,V362,CAT08,LATAM,2023-09-20,20258.68,usd
PO00272,POL3,v288,CAT05 ,EMEA ,2024-01-12,83195.42,
PO00273,POL2,V416,CAT07,EMEA,2024-12-28,61034.41,
PO00274, POL1,V377,CAT01 , EMEA,2023-05-03,9598.8,USD
PO00275,pol1, V415,CAT09,na,2023-05-27,97722.71,usd
PO00276,POL2,V275,CAT08 ,NA,2024-03-29,83924.2, USD
PO00277, POL2, V327, CAT02, EMEA,2024-12-22,73128.26,usd
PO00278, POL1,V395,CAT08,NA,2023-03-06,72593.71,usd
PO00279,POL1 ,V078,CAT02,APAC ,2023-01-03,37502.2,USD
PO00280,pol2,V325,CAT02 ,APAC ,2024-01-15,64495.24,usd
PO00281,POL3,V016,CAT09,NA ,2024-11-05,66205.0,usd
PO00282,POL2,V300,CAT10,APAC,2024-12-20,1080.18,USD
PO00283,POL3, V096,cat06,NA,2023-08-12,77669.9,USD
PO00284,POL2,v213,cat01,na,2024-11-17,62203.59,USD
PO00285,POL3,v064,cat08,latam,2024-05-27,46064.1,
PO00286,POL3 ,V213,CAT06 ,APAC,2024-12-15,23559.5,USD
PO00287,POL2,V001 ,CAT05,APAC,2024-07-02,75715.09, USD
PO00288,POL1 , V383,CAT05 ,LATAM ,2023-07-28,57273.02,USD
PO00289,POL2 ,V143,CAT03 ,LATAM,2023-11-12,56248.0,USD
PO00290,,V069,cat03,LATAM,2024-09-21,,
PO00291,pol1,V066,CAT01,latam,2024-11-24,93680.58,
PO00292,pol3,V113,CAT06,LATAM ,2024-07-10,18064.7, USD
PO00293,POL2, V279, CAT06,latam,2024-04-01,13848.66, USD
PO00294,POL2,v372,CAT08,latam,2024-11-19,10841.34,usd
PO00295,POL1,v284, CAT07,NA,2024-04-20,89389.38,
PO00296,POL2,V250,CAT07,APAC,2024-07-12,24929.05,
PO00297, POL2,V009, CAT08,APAC,2024-10-28,2023.31,usd
PO00298,pol3,V232 ,CAT05, NA,2024-09-14,27810.79,USD
PO00299,POL2,V077 ,CAT10, EMEA,2023-10-06,84550.45,
PO00300,POL2,V417 ,CAT05,EMEA,2023-04-22,75987.12, USD
PO00301,POL3, V151,CAT08, NA,2023-12-22,85164.47,USD
PO00302,POL2,V109,CAT09,EMEA ,2024-02-01,96046.41,USD
PO00303,pol3,V180 ,CAT01, NA,2024-05-02,38451.32, USD
PO00304, POL1,V436 , CAT02,APAC,2024-08-29,92024.16,USD
PO00305,POL1, V223,cat07,APAC,2024-03-30,86176.81,USD
PO00306,POL2 ,V445, CAT03,EMEA,2024-11-29,35944.47,USD
PO00307, POL3,v027,CAT10,APAC ,2024-12-02,21948.95,
PO00308,POL2, V127,CAT08,APAC,2024-06-14,35774.45, USD
PO00309,POL3,V195,CAT02 ,EMEA,2023-01-23,58628.98, USD
PO00310,POL2,V300 ,cat05,NA,2024-06-02,91768.94,USD
PO00311, POL2,v377,CAT02,NA,2024-03-20,58348.92,
PO00312,pol1,V458 ,CAT08,EMEA ,2024-07-15,93948.16,
PO00313,POL1 , V183,CAT08,EMEA,2023-11-01,47948.05,usd
PO00314,pol2,V328,CAT09,apac,2024-04-21,48877.14,usd
PO00315,POL3 ,V225 ,CAT08,EMEA,2024-02-22,72130.3, USD
PO00316, POL1,V416,CAT05 ,apac,2023-05-09,17653.76,USD
PO00317,pol1,,cat06,NA,2023-12-14,78192.14, USD
PO00318, POL1,V496,cat02, NA,2024-12-13,93748.77,USD
PO00319,POL1 , V281,CAT08,NA ,2024-08-13,59968.65,
PO00320,POL2,V381 , CAT07,apac,2024-08-10,81444.96,USD
PO00321,POL3, V033, CAT02,NA,2024-02-16,1724.79,usd
PO00322,POL2,V426 , CAT03,NA,2024-04-05,41562.71,usd
PO00323,POL1,V400,CAT05,EMEA,2023-06-19,83157.19,USD
PO00324, POL1,v131,CAT05,NA,2023-09-12,97364.31, USD
PO00325,POL2 ,V247,CAT10,EMEA,2023-07-21,24851.78,usd
PO00326,POL2,V467, CAT06,EMEA,2023-11-10,15267.33, USD
PO00327,POL1,V001,CAT06,APAC,2024-01-31,82995.34,USD
PO00328,pol3,V124,CAT04,NA,2024-10-27,84778.62,usd
PO00329,POL3 ,V130 ,CAT08 , NA,2023-03-16,8989.27,USD
PO00330, POL1,V194,CAT01,NA,2024-12-10,28021.43,usd
PO00331,pol1,v043,CAT10,latam,2024-04-24,79193.66,
PO00332,, V150,CAT01,NA,2024-06-07,53589.21,
PO00333,pol2,V077,CAT05,EMEA,2024-08-06,58950.63,usd
PO00334,POL1,V134,CAT08,APAC,2023-04-10,46386.5,USD
PO00335,pol3,v235,CAT07, LATAM,2024-05-18,11478.66,usd
PO00336,POL3 , V302,CAT09,EMEA,2024-05-03,41192.98,
PO00337,pol1,V033,CAT01,EMEA ,2023-03-28,, USD
PO00338,POL1 ,V005,cat03,emea,2023-02-27,,USD
PO00339,POL3 ,v165, CAT03,APAC ,2024-11-26,34015.8,USD
PO00340,POL3,v254,CAT07, APAC,2024-10-22,48773.96,
PO00341, POL1,V049, CAT09,APAC ,2023-06-10,18384.31, USD
PO00342,POL2,V358 ,CAT06,APAC,2023-03-03,37374.89, USD
PO00343,POL3,V258,CAT01,APAC,2023-07-31,37325.83,USD
PO00344,POL2,v371, CAT07,na,2024-05-12,98042.92,
PO00345,POL3,V495 ,cat01,latam,2024-07-01,13613.64,usd
PO00346,POL1,V106 , CAT04, APAC,2024-03-20,42723.62,USD
PO00347,POL2,V048 ,CAT06,LATAM,2023-09-22,33974.7,usd
PO00348,pol2,V118,CAT06,NA,2023-04-23,54551.3,usd
PO00349,POL1,V212,cat02,NA,2023-05-08,63820.09, USD
PO00350,pol2,v484,CAT08,EMEA,2024-07-09,6296.35, USD
PO00351,POL2,V409,cat02, LATAM,2024-09-22,36131.15, USD
PO00352,POL3,V234,cat03,APAC,2024-12-02,75121.62,USD
PO00353,POL1,V344,cat06,EMEA,2023-10-30,73362.83,USD
PO00354,pol2, V164,CAT04,APAC,2024-04-08,44789.47,
PO00355,POL1,V170, CAT03,EMEA ,2023-10-04,55574.68,usd
PO00356,POL2,V028, CAT07,latam,2024-04-27,26563.88,
PO00357,POL3, V334,CAT03,EMEA,2023-03-21,8250.96,usd
PO00358,POL3,V443,CAT03,EMEA,2024-04-13,,USD
PO00359,POL1,V337,CAT05,LATAM,2024-07-31,71672.84,
PO00360,POL2,V370 ,CAT09,NA ,2024-08-08,13265.69,usd
PO00361, POL2, V092,CAT07,na,2023-07-24,74524.43,
PO00362,pol3,V007,CAT10,APAC ,2024-06-23,81619.96,usd
PO00363,POL3, V095,CAT08,LATAM,2024-06-27,96694.67,USD
PO00364,POL3,V491,CAT09,EMEA,2024-02-17,72382.66,
PO00365,POL1,V172,CAT09,NA ,2024-06-11,39469.4, USD
PO00366, POL1,V483,CAT05,NA ,2023-09-15,63233.2, USD
PO00367,POL1,V010,CAT01,emea,2024-07-01,23627.16,USD
PO00368,POL2,V071,CAT01 ,APAC ,2024-05-13,51739.67, USD
PO00369,POL3 ,V049,CAT09 ,APAC,2024-07-05,8733.02,
PO00370,POL1,v079,CAT04, EMEA,2024-02-27,31499.49,usd
PO00371, POL3,V246 ,CAT10,EMEA,2023-09-11,11695.09,
PO00372,POL3,V039,CAT01,na,2024-07-24,7328.43,usd
PO00373,POL1,V302,CAT04 ,NA,2023-06-15,,
PO00374,POL1,v049,CAT07,APAC ,2023-10-04,27548.45,usd
PO00375,POL2, V218,CAT10, LATAM,2024-02-04,31908.65,USD
PO00376,POL3, V435,cat08,NA ,2024-09-02,46831.02,usd
PO00377,POL2, V066,CAT05,EMEA,2024-07-13,75832.34,
PO00378,POL1,V143 ,CAT04, LATAM,2024-03-31,98837.42,USD
PO00379,POL1,V119,cat01,na,2023-04-03,23136.51,usd
PO00380,POL1, V067,CAT10,APAC,2024-10-06,90380.11,
PO00381,POL2, V025,CAT06,LATAM,2024-02-25,8199.55,
PO00382,POL3,V336,cat04, APAC,2024-06-30,4482.12,usd
PO00383,POL1,V379,CAT01,NA,2023-12-26,56673.82, USD
PO00384,POL2,V436, CAT09,NA,2023-12-25,88024.84,usd
PO00385,POL3,V107 ,CAT08 ,emea,2023-03-10,29199.95,usd
