invoice_id,invoice_line_id,po_id,vendor_id,invoice_date,invoice_amount,invoice_status
INV000060,inv2, PO01835,V079,2024-09-18,6575.63,POSTED
INV000061,INV2,PO03266,V452 ,2023-05-27,11375.98,posted
INV000062, INV2,po03344, V476,2024-11-24,11295.52,posted
INV000063,INV2, PO03980, V325,2024-10-09,47969.56,CANCELLED
INV000064,INV2, PO00241,V107,2023-08-26,59682.45,POSTED
INV000065,INV1 ,PO04288,V483,2023-02-08,22365.16,posted
INV000066,INV1, PO03287,V028,2023-07-29,27763.74,
INV000067,INV2,PO04558 ,V251,2024-08-13,18489.34,CANCELLED
INV000068, INV1,po05244,V393,2024-06-30,71763.44,CANCELLED
INV000069,INV1,PO01418,V447 ,2024-10-21,39531.56,Cancelled
INV000070,INV1 ,PO03088,V012,2023-07-03,38675.08,posted
INV000071,INV1 ,PO05927,V101,2024-04-23,35007.24,
INV000072,INV2,PO01110,V121 ,2023-04-16,77684.4,Cancelled
INV000073,INV2 ,PO04096,V194,2024-02-21,88934.07,posted
INV000074,INV2,PO04133,V313 ,2023-05-14,31347.23,posted
INV000075,INV1,PO00731,V154,2024-08-20,65686.49,posted
INV000076,INV2,PO02618, V048,2024-03-08,27657.49,
INV000077,INV1,PO00042,V014 ,2024-05-11,39336.03,posted
INV000078,INV2, PO07650,V092,2024-05-10,52929.31,posted
INV000079,INV2,po00734,V328,2024-07-05,,CANCELLED
INV000080,INV1,PO02681,V407 ,2023-09-30,72195.89,Cancelled
INV000081,INV2,PO01986, V144,2023-06-11,46341.45,CANCELLED
INV000082, INV1,PO01548,V313,2023-05-30,18749.26,CANCELLED
INV000083,INV1,PO01953,V342,2023-11-21,91021.78,
INV000084,INV2 ,PO06059,V204,2024-05-24,41011.09,CANCELLED
INV000085,inv2,PO07976 ,v130,2023-07-24,9197.45,POSTED
INV000086,inv1,PO06139,V451,2024-10-31,17516.79,
INV000087,INV1,PO00689,V163 ,2023-08-22,77493.02,
INV000088,INV2,PO05490 ,V290 ,2023-04-26,,Cancelled
INV000089,INV1,PO00538 ,V432 ,2024-09-07,56349.03,
INV000090,inv2,po05223,V466,2023-10-18,67380.17,Cancelled
INV000091,INV2, PO06717,v301,2024-03-10,65148.16,POSTED
INV000092,INV1,PO05289,V216,2024-06-17,64884.78,CANCELLED
INV000093,inv2,po02862,v453,2024-12-28,16782.45,Cancelled
INV000094,inv1,PO01496,V012 ,2024-01-22,20770.31,posted
INV000095,INV2 ,PO00171,V399 ,2023-11-28,22841.25,Cancelled
INV000096,INV1,PO04154,V374,2024-01-03,83847.66,
INV000097,inv1,po02126,v497,2024-04-26,30880.78,POSTED
INV000098,INV2,PO02920 ,V239 ,2023-04-09,79920.87,POSTED
INV000099,INV1, PO04949, V305,2023-08-22,28423.12,POSTED
INV000100,INV1 ,po02287,V278,2024-01-18,94552.51,CANCELLED
INV000101,INV2 ,PO00432,v018,2024-03-18,79262.49,posted
INV000102,INV1,PO03527,V049,2024-04-09,93947.0,
INV000103,,po07907, V375,2023-06-20,57997.86,Cancelled
INV000104,INV2,PO00010,V248,2023-06-23,79933.48,CANCELLED
INV000105, INV2,,V405,2023-07-14,75426.8,posted
INV000106,INV2, PO06430,V004,2023-10-24,85072.47,Cancelled
INV000107, INV2,PO05579,V102 ,2023-08-27,47379.31,CANCELLED
INV000108,INV2,PO01399,V122,2023-02-09,47413.74,
INV000109,INV1,PO01760,v079,2023-06-05,44285.76,POSTED
INV000110,INV2,po02640,v062,2023-08-26,45917.01,POSTED
INV000111,INV2,PO05478,V295,2024-12-11,76477.93,posted
INV000112,INV1 ,PO00001 ,V144,2024-11-13,64909.47,CANCELLED
INV000113,INV1 , PO05898, V289,2024-11-30,16842.57,CANCELLED
INV000114,INV2,PO06735 ,V320,2024-03-02,3479.58,CANCELLED
INV000115,INV1,PO00405,V296 ,2023-09-09,37494.7,CANCELLED
INV000116,INV2, PO06396,V141,2024-09-18,7483.95,Cancelled
INV000117,INV2,PO00617,v175,2024-11-16,,
INV000118,INV2, PO05196,V029,2023-09-12,62367.2,
INV000119, INV2,po03001,V444,2023-12-16,51890.83,
INV000120,inv1, PO07771,V050 ,2024-06-02,12435.37,posted
INV000121,INV1,PO04524,v040,2023-04-29,51500.28,
INV000122, INV1,PO07430,V141,2023-07-21,55426.47,posted
INV000123,INV1,PO06474, V212,2024-12-11,24916.35,
INV000124,INV2 ,po02644,V417 ,2023-05-27,63983.83,posted
INV000125,inv1, PO07881,v057,2023-05-19,35988.27,CANCELLED
INV000126,INV2,PO00466,V450,2024-08-21,59687.06,posted
INV000127,INV1, PO02845, V196,2024-08-23,48701.14,Cancelled
INV000128,inv1,PO00662,V392,2024-09-07,83882.8,posted
INV000129,INV1 ,PO02136,v012,2023-07-29,63481.21,posted
INV000130,INV2,PO04932 ,V358,2024-01-31,46628.06,Cancelled
INV000131,INV2,PO03696,V421,2024-03-08,12539.35,CANCELLED
INV000132,INV1,PO07170,v185,2024-12-25,40100.66,CANCELLED
INV000133,INV1, PO04829,V438,2023-12-26,10393.93,posted
INV000134,INV2,PO05261, V182,2023-12-25,56208.29,posted
INV000135,INV2,PO02916,V276 ,2024-12-16,,posted
INV000136,inv2,po07973, V079,2024-05-02,62008.41,posted
INV000137,INV1,PO01765,V086,2024-04-16,,Cancelled
INV000138,INV2,PO04069 ,v288,2024-06-30,68579.81,posted
INV000139,INV2,PO01126 ,V349,2023-04-05,55242.83,Cancelled
INV000140,INV2,po07914,V145,2024-12-20,,Cancelled
INV000141, INV2,PO07537,V184,2024-12-13,44553.05,CANCELLED
INV000142,INV1,PO02305 ,V027,2024-02-23,86669.54,CANCELLED
INV000143,,PO07521,V389,2023-02-10,89825.41,
INV000144,INV1,, V433,2023-09-30,58215.05,POSTED
INV000145,INV2, PO04249,V006,2023-09-17,72942.61,
INV000146,inv1,po01424, V338,2023-04-15,15166.21,
INV000147,INV2,PO05664 ,V296,2024-04-02,12486.35,POSTED
INV000148,INV1,PO06459,V335,2023-04-04,67622.72,CANCELLED
INV000149,INV1,po06646,V276,2024-03-07,25700.98,CANCELLED
INV000150,INV1, PO01545,v082,2023-11-02,56814.52,posted
INV000151, INV1,PO07246,V056,2024-02-13,45949.7,
INV000152,inv1, PO04664, V310,2023-01-11,86587.45,posted
INV000153,INV1 ,PO02566,V010 ,2024-12-19,13668.19,posted
INV000154,INV1,PO03492,V037,2023-07-31,62979.68,
INV000155, INV2,PO07118,v156,2023-03-14,14398.16,
INV000156,INV1,PO05111 , V207,2023-10-08,18940.49,Cancelled
INV000157,INV2 ,PO05658,V133,2024-01-04,9555.54,
INV000158,INV2 ,PO00753 ,V478,2023-01-05,17672.11,Cancelled
INV000159,inv1,PO05372,V258,2023-05-30,16081.19,Cancelled
INV000160,INV1 ,PO06383,v117,2024-07-19,34429.43,POSTED
INV000161,INV1,po02060,V303,2023-09-07,64860.67,POSTED
INV000162,INV2,po04447,v406,2024-08-08,64164.61,CANCELLED
INV000163, INV1,PO07764,V276,2024-08-18,93326.67,
INV000164,INV2 ,po00367,v323,2024-10-22,,posted
INV000165,INV2,PO06998,V095,2024-10-27,55817.64,POSTED
INV000166,INV1,PO00335,V067,2023-08-28,22733.88,CANCELLED
INV000167,INV1 ,PO00921, V367,2023-07-21,44950.1,Cancelled
INV000168,INV1,PO06741,V353,2024-06-14,36726.56,posted
INV000169,INV2,PO01854 ,V096,2023-10-14,47060.26,
INV000170,INV2, PO04517,,2023-12-25,40193.69,CANCELLED
INV000171, INV2, PO02900,V233,2024-02-24,14761.05,CANCELLED
INV000172,INV2,PO00925, V363,2023-08-31,7632.34,posted
INV000173,inv1, PO07159, V056,2023-05-22,92169.8,
INV000174,inv2, PO04996,V215,2023-07-10,27936.26,Cancelled
INV000175,INV2 ,PO07230,V449,2024-04-29,75562.82,Cancelled
INV000176, INV2,PO00695,V395,2024-02-16,38904.6,
INV000177,INV2,po02430,V403,2023-07-10,25353.4,POSTED
INV000178,INV1,PO01556 ,v086,2024-01-18,71666.7,Cancelled
INV000179, INV1, PO01348,V154,2024-03-14,20119.53,
INV000180,INV2,PO04713, V264,2023-03-01,85568.37,POSTED
INV000181,INV2,PO07344,v139,2023-11-30,9859.94,Cancelled
INV000182,INV2,po03935,V314,2024-08-15,3379.56,Cancelled
INV000183,inv1,PO01518,v171,2024-07-17,27691.81,posted
INV000184,INV1,PO00400,V071 ,2023-06-09,73318.71,
INV000185,INV1,PO03209,V082 ,2024-07-09,89695.88,posted
INV000186,INV2,po06512,V257,2023-02-28,63987.45,
INV000187,inv1,, V187,2023-08-30,52178.52,Cancelled
INV000188,INV2,PO01544,V125,2024-07-19,94897.26,posted
INV000189,INV2,PO02943 ,V341,2023-09-02,17071.66,
INV000190,INV2,PO05300,v134,2023-09-16,80047.8,POSTED
INV000191, INV2,PO01171, V202,2024-09-01,63474.24,posted
INV000192,INV2,PO02330,V276,2024-04-13,9629.18,POSTED
INV000193,INV2 ,PO07993, V177,2023-05-31,85026.29,CANCELLED
INV000194,INV2, PO06881,V014 ,2024-02-06,53544.94,posted
INV000195,INV2,PO04979,V487,2024-11-25,80487.34,POSTED
INV000196,INV2 ,po07528,V433 ,2024-01-16,29410.81,
INV000197,inv2,PO04628,V131,2024-01-29,92874.6,Cancelled
INV000198,INV1,po07611,V287,2024-06-22,49066.84,posted
INV000199,INV2,PO00433,V068,2024-08-11,6881.16,posted
INV000200,INV2,PO04563,V271,2023-01-14,30219.24,POSTED
INV000201,INV1,PO00983,V044,2024-10-09,42815.2,Cancelled
INV000202,INV2,PO05954,V427,2024-08-16,5109.56,posted
INV000203,INV2 ,po03234,V224,2024-08-08,80500.0,posted
INV000204,inv1,PO04942,v075,2023-12-23,,CANCELLED
INV000205,INV2,PO07074,V027 ,2024-06-22,15820.94,
INV000206,INV2,PO02773,v152,2023-04-08,11639.25,CANCELLED
INV000207,INV2,PO06509,V091,2024-06-01,65037.37,
INV000208,inv2,PO00099,V456 ,2024-03-27,8837.75,CANCELLED
INV000209,INV1,PO04958,V438 ,2024-08-14,30830.28,CANCELLED
INV000210,INV2,PO03211,V149,2023-05-22,8624.16,CANCELLED
INV000211,INV1,PO02109, V448,2023-02-25,3675.31,posted
INV000212,INV1 ,PO00753 ,V179,2024-02-22,40144.94,CANCELLED
INV000213, INV2,po03623,V480 ,2023-02-26,72873.56,
INV000214,inv1,PO01869,V123,2024-01-10,44349.85,
INV000215,INV2 ,po07665,V275,2024-05-21,59863.48,
INV000216,inv1,PO02689,V094,2023-12-10,14819.57,
INV000217, INV1,PO03963,V038,2023-12-04,44569.05,
INV000218, INV2,PO03063 ,V204,2024-02-16,81835.69,POSTED
INV000219,inv1,PO04408,V088,2023-09-16,80754.86,posted
INV000220,INV2, PO07499,V184,2023-02-05,39022.1,CANCELLED
INV000221,INV2,PO00265,V205,2023-05-30,49527.44,
INV000222,INV2, PO05794,V329,2023-02-01,37836.42,Cancelled
INV000223,INV2,PO00388,V284,2023-01-06,4986.52,CANCELLED
INV000224,inv1,PO07742, V061,2024-02-08,6674.26,posted
INV000225,INV2, PO03686,v023,2024-10-09,93158.92,posted
INV000226,inv2,po02855,V151,2024-05-23,67278.15,CANCELLED
INV000227,INV2 ,PO07036,v379,2024-01-19,81008.98,CANCELLED
INV000228, INV2, PO04953,V391,2024-11-16,4737.77,posted
INV000229,INV2,PO00201,V417,2024-01-17,62374.89,Cancelled
INV000230,INV1,po02428, V348,2023-07-23,77779.74,
INV000231,INV2,PO06239, V003,2023-10-02,55144.22,Cancelled
INV000232,INV2,po05100,V158,2024-02-22,57914.26,Cancelled
INV000233,INV1,PO01821 ,v418,2024-11-23,55407.64,CANCELLED
INV000234,INV2 , PO03071, V273,2023-07-13,55169.31,posted
INV000235,INV1, PO03044,V187,2024-04-18,11428.77,posted
INV000236,INV1,PO06761,V050,2023-03-23,29559.24,CANCELLED
INV000237,INV2 ,po06808,V327 ,2024-01-23,6280.94,
INV000238, INV2,PO07482,V307,2023-10-07,49395.02,
INV000239,inv1,PO01235,V379,2024-10-14,20636.89,CANCELLED
INV000240,INV1 ,PO02725,V370,2023-01-05,55557.99,Cancelled
INV000241,INV2 ,PO06053, V351,2024-11-28,75016.83,Cancelled
INV000242,INV1,po04216,V067,2023-07-19,8884.45,
INV000243,INV2,PO00370 ,V426,2023-08-07,9289.02,posted
INV000244,INV2,PO06058,V394,2024-11-18,7048.77,POSTED
INV000245, INV1,po07854,V161 ,2023-04-20,27516.17,Cancelled
INV000246,INV2,po03076,V350,2024-07-14,41654.08,
INV000247, INV1,PO00635,v280,2023-12-26,41374.87,POSTED
INV000248,inv2,PO03975,V499 ,2024-01-07,61748.74,CANCELLED
INV000249,INV2,PO04056 ,V228,2023-11-21,93402.28,
INV000250,INV2,po06906,V014,2024-12-18,38940.76,Cancelled
INV000251,INV2,po04566, V343,2024-12-04,14123.81,
INV000252,INV2,PO03066 , V475,2024-02-12,36207.98,posted
INV000253,INV1 ,PO01375,V348,2023-03-01,56884.54,
INV000254,INV2,PO07031,V001,2024-01-01,85419.83,Cancelled
INV000255,INV1 , PO00164,V194 ,2023-12-05,9211.03,
INV000256,INV2, PO06959,v263,2024-06-26,19040.05,CANCELLED
INV000257,INV2,PO07785, V404,2024-12-07,66706.06,
INV000258,INV1,PO03396 ,v396,2023-01-02,14010.95,CANCELLED
INV000259,inv2,po06305,v325,2023-07-23,18844.1,POSTED
INV000260,INV1 ,PO04448 ,V076,2024-10-08,,Cancelled
INV000261,inv2,PO01088,V091,2024-04-18,3161.01,Cancelled
INV000262,INV2,po03170,,2023-02-10,90751.98,
INV000263, INV2,PO03607 ,V455,2024-08-29,66786.31,POSTED
INV000264, INV1,PO02584,V450,2023-10-22,13807.89,CANCELLED
INV000265,INV1,po03220,V184,2024-09-11,44112.95,posted
INV000266,INV1 ,PO04575 ,V321,2024-06-01,,Cancelled
INV000267,INV2,PO03716,V333 ,2023-10-11,85011.09,posted
INV000268,inv2,po07924,v257,2023-10-15,29978.61,Cancelled
INV000269, INV2,PO06909,V074,2023-01-06,91755.05,CANCELLED
INV000270, INV2, PO07243,V300,2024-07-02,71808.37,Cancelled
INV000271,INV2,PO01597,V298,2024-12-31,16510.71,CANCELLED
INV000272, INV2,PO03516,v432,2024-10-24,39554.96,
INV000273,INV1,po00346,V329 ,2023-12-29,25385.87,POSTED
INV000274,inv2,po01199,v371,2023-07-29,63732.05,POSTED
INV000275,INV2,PO00943,V293,2024-01-26,25599.63,
INV000276,inv1,PO05189,V335 ,2023-09-22,30707.58,posted
INV000277,,PO01510,v474,2024-11-27,,Cancelled
INV000278,INV2,PO05302,V102 ,2023-05-04,52294.41,
INV000279,INV2 ,PO05192,V212,2023-02-12,18389.67,Cancelled
INV000280, INV1,po01608,v178,2023-01-16,23135.29,POSTED
INV000281,INV2,PO03756,v028,2023-09-04,85046.72,Cancelled
INV000282,INV1,PO00445,V023,2024-11-19,52033.03,POSTED
INV000283,inv1,PO03771,V210,2024-05-12,34888.64,Cancelled
INV000284, INV2,PO02563 ,V403,2024-12-14,79260.37,POSTED
INV000285,INV1 ,po03392,V169,2024-07-28,40483.87,posted
INV000286,inv1,PO01189, V377,2023-04-24,1549.48,
INV000287,INV1,PO06909,V312,2024-10-13,92595.04,posted
INV000288,INV2,po01419,V490,2023-05-24,67865.17,posted
INV000289,INV2,PO03808,v354,2024-08-26,4287.53,CANCELLED
INV000290, INV2,PO07761,V285,2024-06-07,85209.23,CANCELLED
INV000291,INV1 ,PO01371,v131,2023-08-18,59604.78,CANCELLED
INV000292,inv2,po03556,V133,2024-05-16,3237.21,CANCELLED
INV000293,INV1,PO03800,V487,2024-01-22,7737.87,
INV000294,inv1, PO03558,v409,2024-08-18,38615.52,Cancelled
INV000295,INV1,PO06056,V032,2024-09-12,93193.94,CANCELLED
INV000296,INV1,PO06292 ,V061 ,2024-03-24,56111.77,
INV000297,INV1,PO04202,V050,2023-05-10,57349.13,POSTED
INV000298,INV2, PO03755,V328,2023-01-11,8252.65,Cancelled
INV000299, INV1,PO03467,V418,2023-11-30,92276.59,CANCELLED
INV000300,INV2 ,PO06223, V236,2023-10-11,35287.35,posted
INV000301,INV1,PO04827,V021,2024-07-12,53039.31,
INV000302,INV2 , PO05951,v241,2023-02-13,71982.24,
INV000303,INV2, PO01860,V424,2023-04-21,75344.14,POSTED
INV000304,INV1, PO00430,V090,2024-10-07,24308.21,Cancelled
INV000305,INV2,PO06477 ,V117 ,2024-02-22,27427.63,POSTED
INV000306,INV1, PO07699,V002,2023-11-07,7775.05,CANCELLED
INV000307,inv1,PO06721,V455,2023-10-13,34300.49,
INV000308,, PO05818,V497 ,2023-12-24,76499.54,
INV000309,INV1, PO03912, V290,2024-01-01,47945.72,posted
INV000310,INV1, PO05617,V145,2024-08-22,79015.17,CANCELLED
INV000311,INV1,PO02570,V295,2023-05-13,14203.89,CANCELLED
INV000312,INV1,PO02967,V025,2024-06-05,34831.74,posted
INV000313,INV2,PO04198,v410,2023-12-07,64463.36,POSTED
INV000314,INV2 ,po03141,v226,2024-06-22,21038.43,Cancelled
INV000315,INV2 ,PO05937 ,V273,2024-10-06,20498.77,
INV000316,INV1 ,PO03090 ,V027,2023-02-26,67839.25,
INV000317,inv1,PO00911,V414,2024-08-24,54875.06,posted
INV000318,INV2,PO03573,V260,2024-03-31,9421.48,
INV000319,inv2,po01362, V017,2024-02-03,34878.5,
INV000320, INV1,PO05596 ,v403,2024-02-10,48414.8,posted
INV000321,inv2,PO00587 ,V387,2023-06-14,80004.95,POSTED
INV000322,INV2,PO04351,v496,2023-09-19,86940.4,CANCELLED
INV000323,INV1,PO00572,v302,2023-02-03,36425.63,Cancelled
INV000324,inv2,PO04007, V460,2024-09-28,33567.36,Cancelled
INV000325,INV1,PO07579,V149,2024-10-28,32279.46,Cancelled
INV000326,inv1,PO03491 ,V282,2024-07-04,70449.37,POSTED
INV000327,inv2,PO01030,V040,2023-02-15,78469.24,
INV000328,INV1,po07594,V060,2023-09-16,90836.68,
INV000329,INV2,PO07752,v094,2024-08-26,85961.1,posted
INV000330,INV2,PO02726,V163 ,2023-05-28,2582.58,
INV000331, INV2,PO05702 ,V265,2023-02-05,68774.21,posted
INV000332, INV1,PO06851,v374,2024-07-08,34696.52,CANCELLED
INV000333,INV1,PO04030,V230,2023-11-17,41582.07,posted
INV000334,inv2, PO04129,v352,2024-08-25,57701.36,
INV000335,INV2,PO07854,V025,2023-09-20,40594.94,CANCELLED
INV000336, INV2,PO07125 ,V053 ,2024-02-29,2730.3,posted
INV000337,INV2,PO05969,v457,2023-06-17,6770.68,Cancelled
INV000338, INV2,PO05894,V275,2023-10-26,91586.23,
INV000339,INV1 ,PO05447,V348,2024-12-04,93610.53,posted
INV000340,INV1,PO06419 ,V173,2023-10-20,8037.0,posted
INV000341,INV2,PO06793 ,V146,2024-04-22,48039.83,Cancelled
INV000342,INV2 ,PO02870,V036,2023-01-31,26795.69,Cancelled
INV000343, INV1,PO05999 ,V433,2023-12-29,15105.63,POSTED
INV000344,INV2 , PO05002,V157 ,2023-07-12,37282.81,CANCELLED
INV000345,INV2 ,PO00869, V087,2023-10-10,7845.98,
INV000346,INV2 ,PO01377,V453,2023-03-08,15157.51,Cancelled
INV000347,INV1,PO00644, V033,2023-07-25,94910.92,POSTED
INV000348,INV1, PO06913,V139,2023-11-08,21890.36,posted
INV000349,INV2,PO00057,V173,2023-04-06,68242.07,
INV000350,INV2,PO02681,V113,2024-06-14,26299.4,Cancelled
INV000351,INV1 , PO07850,V468,2024-03-04,89485.65,CANCELLED
INV000352,INV1, PO07660,V487,2023-01-24,60471.07,Cancelled
INV000353,INV1,po00549,V438 ,2023-08-06,27302.57,CANCELLED
INV000354,inv1,po06577,V289,2023-01-23,91074.47,Cancelled
INV000355,INV2 ,PO07121 , V243,2023-11-11,91347.61,
INV000356,INV1,PO06612, V034,2024-01-06,,Cancelled
INV000357,INV1,PO05823,V069,2024-01-31,36491.07,Cancelled
INV000358,INV1,po05943,V205,2023-11-16,33795.76,CANCELLED
INV000359,INV1,PO02973,V263,2024-10-13,11437.78,CANCELLED
INV000360,INV1,PO07775,V303,2024-04-28,52091.93,posted
INV000361,INV2,PO02527,V025,2023-12-10,66683.08,Cancelled
INV000362,INV1,PO07695, V344,2023-09-10,15314.95,Cancelled
INV000363,INV1,po06193,V473 ,2023-09-15,33546.18,CANCELLED
INV000364, INV2,PO06263,V493,2024-03-14,,
INV000365,inv1, PO00646,V200,2023-09-20,63545.25,posted
INV000366,INV2, PO03447, V211,2023-01-21,,
INV000367,INV2 ,PO02608,v252,2024-03-31,94900.52,
INV000368,INV2,PO00425,V097 ,2024-07-02,18156.26,posted
INV000369,INV2,PO02010, V061,2023-09-26,87581.99,posted
INV000370,INV1,PO06411, V407,2023-08-17,78017.32,
INV000371,INV1,PO01402,V427,2024-10-11,21376.66,
INV000372,INV1,PO01119,V123,2024-01-13,84237.37,CANCELLED
INV000373,INV1,PO00141,V314 ,2023-12-03,,POSTED
INV000374,INV2 ,PO02453,v492,2024-12-04,2386.43,posted
INV000375,INV1,PO03695, V037,2023-01-17,73965.07,CANCELLED
INV000376, INV1,PO02225, V160,2024-09-29,93394.61,posted
INV000377,INV2, PO05264,V100,2023-08-19,82035.91,POSTED
INV000378,INV1,PO05062 ,V247,2023-10-17,66838.07,
INV000379,INV1,PO06490,V401,2023-06-25,8352.29,posted
INV000380,INV2,PO07074, V208,2024-05-13,5868.41,posted
INV000381,INV2,PO07511 ,V285,2024-06-26,11069.66,POSTED
INV000382,INV1,PO03169,V285,2024-10-08,,Cancelled
INV000383,INV1, PO03501,V459,2024-07-26,91007.67,POSTED
INV000384, INV1,PO07739,V118,2023-11-04,24955.7,Cancelled
INV000385,INV2,PO03042,V061,2024-07-04,13823.65,POSTED
INV000386,inv1,PO03973,V432,2024-09-11,13757.38,
INV000387,inv2,PO03526,V188,2024-12-18,54443.37,Cancelled
INV000388,INV2, PO04372,V491,2023-12-09,41626.94,posted
INV000389,INV1,po02061,V346 ,2023-06-06,58866.86,CANCELLED
INV000390,INV1, PO07299,v398,2024-05-04,70034.21,posted
INV000391,inv1,po07161,V324,2023-07-26,45387.46,POSTED
INV000392,INV2 , PO02177,V396,2024-06-29,90401.7,posted
INV000393,INV1,PO01665 ,V185 ,2024-05-05,41965.8,CANCELLED
INV000394, INV1, PO06039, V383,2023-10-08,17272.32,
INV000395, INV2,PO05560,V122 ,2023-05-07,86334.83,POSTED
INV000396,INV2,PO02296,V247,2024-02-12,46232.57,
INV000397,INV2,po06409,V497 ,2023-12-31,59821.96,Cancelled
INV000398,INV1,po03651,V340,2023-08-29,51049.86,CANCELLED
INV000399,INV1,PO01102 ,V425,2024-03-29,41810.71,CANCELLED
INV000400,INV2 ,PO01906 ,V024,2024-02-16,10596.17,POSTED
INV000401,INV1,PO02731, V191,2023-04-01,63502.23,posted
INV000402,INV1, PO02052,V155 ,2024-03-25,40443.39,POSTED
INV000403, INV1,PO07127 , V465,2023-04-17,,posted
INV000404,INV2, PO07679,V104 ,2024-08-18,80839.31,posted
INV000405,INV1 ,PO06019,v453,2024-06-29,35673.55,Cancelled
INV000406,INV2,PO01846,V404,2023-05-11,77273.86,posted
INV000407,inv1, PO04675,V356,2024-04-28,67493.88,posted
INV000408,INV2,PO06770,v324,2023-02-13,60466.73,posted
INV000409,INV2,PO01064,v286,2024-03-19,10968.79,CANCELLED
INV000410,INV2,PO04380,V424,2024-10-07,94025.39,CANCELLED
INV000411,INV1, PO04535, V078,2024-07-07,27709.75,
INV000412, INV2,PO02816, V448,2024-05-19,56718.28,posted
INV000413, INV1,po03314,V145,2023-05-02,,posted
